Month,Year,Sales,Redemption,Net,Income Distributed,Fund Size,Dividend,FBMKLCI
Jan,1992,"375,563,796.88","-540,347,046.64","-164,783,249.76","1,035,419,777.01","10,319,303,156.67",12.5,570.64
Feb,1992,"419,486,066.50","-384,657,134.29","34,828,932.21",,"10,354,132,088.88",,605.06
Mar,1992,"380,402,760.39","-553,893,777.71","-173,491,017.32",,"10,180,641,071.56",,593.21
Apr,1992,"317,961,017.23","-215,139,914.18","102,821,103.05",,"10,283,462,174.61",,591.63
May,1992,"415,816,178.64","-265,796,917.88","150,019,260.76",,"10,433,481,435.37",,589.09
Jun,1992,"308,147,146.41","-235,537,066.17","72,610,080.24",,"10,506,091,515.61",,592.33
Jul,1992,"382,383,350.24","-231,782,285.17","150,601,065.07",,"10,656,692,580.68",,601.53
Aug,1992,"386,455,227.77","-218,321,156.06","168,134,071.71",,"10,824,826,652.39",,569.68
Sep,1992,"372,476,143.71","-206,338,437.63","166,137,706.08",,"10,990,964,358.47",,602.28
Oct,1992,"339,586,302.64","-283,651,417.78","55,934,884.86",,"11,046,899,243.33",,641.31
Nov,1992,"362,649,948.44","-199,000,080.23","163,649,868.21",,"11,210,549,111.54",,641.89
Dec,1992,"284,009,103.73","-85,213,150.67","198,795,953.06",,"11,409,345,064.60",,643.96
Jan,1993,"374,265,012.91","-602,676,521.54","-228,411,508.63","1,255,813,497.60","12,436,747,053.57",12.5,624.49
Feb,1993,"364,647,921.72","-377,742,420.41","-13,094,498.69",,"12,423,652,554.88",,638.19
Mar,1993,"352,608,353.57","-355,124,147.96","-2,515,794.39",,"12,421,136,760.49",,643.25
Apr,1993,"380,425,407.61","-360,631,017.07","19,794,390.54",,"12,440,931,151.03",,719.61
May,1993,"369,216,080.04","-333,347,250.56","35,868,829.48",,"12,476,799,980.51",,735.25
Jun,1993,"369,511,002.79","-320,306,374.28","49,204,628.51",,"12,526,004,609.02",,721.17
Jul,1993,"461,981,733.02","-289,551,454.70","172,430,278.32",,"12,698,434,887.34",,766.08
Aug,1993,"399,998,113.56","-280,665,212.63","119,332,900.93",,"12,817,767,788.27",,808.49
Sep,1993,"454,185,981.60","-318,474,978.74","135,711,002.86",,"12,953,478,791.13",,853.83
Oct,1993,"450,402,768.62","-304,617,879.27","145,784,889.35",,"13,099,263,680.48",,971.99
Nov,1993,"443,403,195.96","-261,608,185.37","181,795,010.59",,"13,281,058,691.07",,972.1
Dec,1993,"297,218,009.69","-118,177,186.84","179,040,822.85",,"13,460,099,513.92",,"1,275.32"
Jan,1994,"498,705,895.64","-1,278,963,348.04","-780,257,452.40","1,594,868,328.34","14,274,710,389.86",13.5,"1,106.99"
Feb,1994,"591,085,524.35","-685,715,507.17","-94,629,982.82",,"14,180,080,407.04",,"1,125.63"
Mar,1994,"757,013,373.10","-394,811,235.85","362,202,137.25",,"14,542,282,544.29",,952.72
Apr,1994,"663,861,677.61","-424,747,310.90","239,114,366.71",,"14,781,396,911.00",,"1,054.50"
May,1994,"485,835,773.78","-364,942,759.94","120,893,013.84",,"14,902,289,924.84",,993.73
Jun,1994,"547,355,981.29","-339,434,087.31","207,921,893.98",,"15,110,211,818.82",,"1,011.58"
Jul,1994,"549,640,947.59","-374,623,771.35","175,017,176.24",,"15,285,228,995.06",,"1,027.51"
Aug,1994,"581,742,510.56","-396,424,210.12","185,318,300.44",,"15,470,547,295.50",,"1,130.01"
Sep,1994,"536,991,445.72","-398,913,852.11","138,077,593.61",,"15,608,624,889.11",,"1,129.76"
Oct,1994,"671,975,426.54","-364,035,251.22","307,940,175.32",,"15,916,565,064.43",,"1,108.85"
Nov,1994,"1,351,162,814.36","-273,687,239.73","1,077,475,574.63",,"16,994,040,639.06",,"1,013.13"
Dec,1994,"405,156,815.34","-132,337,151.00","272,819,664.34",,"17,266,860,303.40",,971.21
Jan,1995,"507,757,935.87","-963,395,855.27","-455,637,919.40","2,032,540,138.46","18,843,762,522.46",14,883.29
Feb,1995,"482,216,305.58","-497,838,547.87","-15,622,242.29",,"18,828,140,280.17",,979.64
Mar,1995,"477,625,977.63","-442,112,400.86","35,513,576.77",,"18,863,653,856.94",,984.07
Apr,1995,"417,231,679.18","-415,672,644.41","1,559,034.77",,"18,865,212,891.71",,951.8
May,1995,"448,504,051.66","-391,871,849.02","56,632,202.64",,"18,921,845,094.35",,"1,050.00"
Jun,1995,"476,729,945.63","-379,396,152.45","97,333,793.18",,"19,019,178,887.53",,"1,026.62"
Jul,1995,"487,054,678.82","-531,283,608.06","-44,228,929.24",,"18,974,949,958.29",,"1,060.21"
Aug,1995,"569,349,712.83","-366,482,675.51","202,867,037.32",,"19,177,816,995.61",,"1,015.07"
Sep,1995,"941,132,014.03","-382,137,481.29","558,994,532.74",,"19,736,811,528.35",,"1,000.60"
Oct,1995,"924,615,321.22","-351,314,897.93","573,300,423.29",,"20,310,111,951.64",,957.61
Nov,1995,"506,622,999.66","-334,310,881.98","172,312,117.68",,"20,482,424,069.32",,951.69
Dec,1995,"304,735,082.64","-156,962,706.07","147,772,376.57",,"20,630,196,445.89",,995.17
Jan,1996,"689,604,145.76","-1,247,128,487.70","-557,524,341.94","2,357,801,183.76","22,430,473,287.71",13,"1,055.42"
Feb,1996,"613,527,344.81","-525,282,296.48","88,245,048.33",,"22,518,718,336.04",,"1,084.41"
Mar,1996,"691,926,147.65","-629,674,040.10","62,252,107.55",,"22,580,970,443.59",,"1,149.08"
Apr,1996,"697,605,568.62","-584,150,770.07","113,454,798.55",,"22,694,425,242.14",,"1,189.54"
May,1996,"708,943,355.98","-521,292,695.98","187,650,660.00",,"22,882,075,902.14",,"1,141.07"
Jun,1996,"683,609,634.32","-501,637,083.65","181,972,550.67",,"23,064,048,452.81",,"1,136.31"
Jul,1996,"679,767,770.10","-487,949,971.84","191,817,798.26",,"23,255,866,251.07",,"1,068.23"
Aug,1996,"671,846,376.31","-462,832,642.52","209,013,733.79",,"23,464,877,984.83",,"1,118.57"
Sep,1996,"621,699,505.44","-460,867,437.06","160,832,068.38",,"23,625,710,053.21",,"1,135.27"
Oct,1996,"762,544,539.33","-471,722,828.41","290,821,710.92",,"23,916,531,764.13",,"1,168.31"
Nov,1996,"773,611,724.14","-412,609,613.17","361,002,110.97",,"24,277,533,875.10",,"1,226.52"
Dec,1996,"967,021,569.44","-188,759,591.51","778,261,977.93",,"25,055,795,853.03",,"1,237.96"
Jan,1997,"895,769,568.22","-1,656,416,292.85","-760,646,724.63","2,973,197,098.37","27,268,346,226.77",13.25,"1,216.72"
Feb,1997,"682,265,809.89","-684,583,039.16","-2,317,229.27",,"27,266,028,997.50",,"1,270.67"
Mar,1997,"839,929,774.10","-774,934,356.62","64,995,417.48",,"27,331,024,414.98",,"1,203.10"
Apr,1997,"1,011,099,001.86","-692,835,750.76","318,263,251.10",,"27,649,287,666.08",,"1,080.17"
May,1997,"844,683,071.80","-664,571,191.16","180,111,880.64",,"27,829,399,546.72",,"1,104.83"
Jun,1997,"848,796,846.96","-579,305,722.42","269,491,124.54",,"28,098,910,671.26",,"1,077.30"
Jul,1997,"835,113,420.90","-587,162,941.65","247,950,479.25",,"28,346,861,150.51",,"1,012.84"
Aug,1997,"796,964,439.55","-568,335,837.09","228,628,602.46",,"28,575,489,752.97",,804.4
Sep,1997,"779,563,048.95","-608,370,494.11","171,192,554.84",,"28,746,682,307.81",,814.57
Oct,1997,"737,287,650.96","-598,683,708.87","138,603,942.09",,"28,885,286,249.90",,664.69
Nov,1997,"820,185,383.31","-687,525,774.79","132,659,608.52",,"29,017,945,858.42",,545.44
Dec,1997,"690,003,653.46","-722,498,915.21","-32,495,261.75",,"28,985,450,596.67",,594.44
Jan,1998,"717,792,913.30","-2,144,519,543.92","-1,426,726,630.62","3,188,536,335.60","30,747,260,301.65",11.5,569.51
Feb,1998,"781,657,957.56","-1,462,555,314.12","-680,897,356.56",,"30,066,362,945.09",,745.36
Mar,1998,"565,236,228.09","-1,111,281,780.98","-546,045,552.89",,"29,520,317,392.20",,719.52
Apr,1998,"443,694,395.88","-1,059,628,654.50","-615,934,258.62",,"28,904,383,133.58",,625.97
May,1998,"420,064,667.31","-1,135,528,376.56","-715,463,709.25",,"28,188,919,424.33",,538.24
Jun,1998,"419,166,212.27","-1,118,838,557.29","-699,672,345.02",,"27,489,247,079.31",,455.64
Jul,1998,"420,933,957.83","-1,116,027,788.77","-695,093,830.94",,"26,794,153,248.37",,402.65
Aug,1998,"376,363,553.67","-892,579,351.63","-516,215,797.96",,"26,277,937,450.41",,302.91
Sep,1998,"509,438,681.10","-831,272,051.64","-321,833,370.54",,"25,956,104,079.87",,373.52
Oct,1998,"471,140,632.41","-622,485,478.68","-151,344,846.27",,"25,804,759,233.60",,405.33
Nov,1998,"382,243,376.96","-613,535,219.14","-231,291,842.18",,"25,573,467,391.42",,501.47
Dec,1998,"203,270,925.72","-283,878,635.86","-80,607,710.14",,"25,492,859,681.28",,586.13
Jan,1999,"588,153,788.36","-1,728,846,071.75","-1,140,692,283.39","2,591,196,292.45","26,943,363,690.34",10.5,591.43
Feb,1999,"466,751,502.88","-955,578,947.28","-488,827,444.40",,"26,454,536,245.94",,542.23
Mar,1999,"466,451,453.83","-902,303,205.62","-435,851,751.79",,"26,018,684,494.15",,502.82
Apr,1999,"431,944,087.20","-820,408,584.53","-388,464,497.33",,"25,630,219,996.82",,674.96
May,1999,"478,570,613.40","-807,807,557.11","-329,236,943.71",,"25,300,983,053.11",,743.04
Jun,1999,"491,399,623.75","-710,662,503.82","-219,262,880.07",,"25,081,720,173.04",,811.1
Jul,1999,"548,461,906.35","-679,600,825.83","-131,138,919.48",,"24,950,581,253.56",,768.69
Aug,1999,"485,378,032.81","-591,412,726.59","-106,034,693.78",,"24,844,546,559.78",,764.79
Sep,1999,"500,041,411.96","-545,143,029.89","-45,101,617.93",,"24,799,444,941.85",,675.45
Oct,1999,"451,746,619.05","-515,896,889.42","-64,150,270.37",,"24,735,294,671.48",,742.87
Nov,1999,"420,593,471.94","-462,722,474.14","-42,129,002.20",,"24,693,165,669.28",,734.66
Dec,1999,"340,157,270.54","-264,453,728.61","75,703,541.93",,"24,768,869,211.21",,812.33
Jan,2000,"702,234,853.11","-1,484,603,874.54","-782,369,021.43","3,004,123,182.28","26,990,623,372.06",12,922.1
Feb,2000,"729,220,809.71","-937,221,903.89","-208,001,094.18",,"26,782,622,277.88",,982.24
Mar,2000,"885,891,856.41","-851,337,034.09","34,554,822.32",,"26,817,177,100.20",,974.38
Apr,2000,"828,048,322.16","-732,237,535.21","95,810,786.95",,"26,912,987,887.15",,898.35
May,2000,"702,592,608.78","-781,874,168.21","-79,281,559.43",,"26,833,706,327.72",,911.51
Jun,2000,"621,930,723.39","-697,036,287.80","-75,105,564.41",,"26,758,600,763.31",,833.37
Jul,2000,"636,283,629.62","-611,058,347.70","25,225,281.92",,"26,783,826,045.23",,798.83
Aug,2000,"604,335,263.36","-618,994,655.18","-14,659,391.82",,"26,769,166,653.41",,795.84
Sep,2000,"611,523,147.74","-553,311,157.65","58,211,990.09",,"26,827,378,643.50",,713.51
Oct,2000,"609,652,007.66","-541,883,556.15","67,768,451.51",,"26,895,147,095.01",,752.36
Nov,2000,"572,985,153.02","-553,153,419.90","19,831,733.12",,"26,914,978,828.13",,729.95
Dec,2000,"305,491,510.75","-261,470,261.96","44,021,248.79",,"26,959,000,076.92",,679.64
Jan,2001,"921,636,055.67","-1,516,589,342.42","-594,953,286.75","3,037,144,147.71","29,401,190,937.88",11.75,727.73
Feb,2001,"754,852,447.54","-888,463,742.88","-133,611,295.34",,"29,267,579,642.54",,709.39
Mar,2001,"766,857,336.88","-819,569,014.70","-52,711,677.82",,"29,214,867,964.72",,647.48
