,event,medal,sport,winner,year
0,Men's Individual,Gold,Archery,Oh Jin-Hyek,2012
1,Men's Individual,Silver,Archery,Takaharu Furukawa,2012
2,Men's Individual,Bronze,Archery,Dai Xiaoxiang,2012
3,Men's Team,Gold,Archery,Italy,2012
4,Men's Team,Silver,Archery,United States,2012
5,Men's Team,Bronze,Archery,South Korea,2012
6,Women's Individual,Gold,Archery,Ki Bo-Bae,2012
7,Women's Individual,Silver,Archery,Aída Román,2012
8,Women's Individual,Bronze,Archery,Mariana Avitia,2012
9,Women's Team,Gold,Archery,South Korea,2012
10,Women's Team,Silver,Archery,China,2012
11,Women's Team,Bronze,Archery,Japan,2012
12,Men's 100 metres,Gold,Athletics,Usain Bolt,2012
13,Men's 100 metres,Silver,Athletics,Yohan Blake,2012
14,Men's 100 metres,Bronze,Athletics,Justin Gatlin,2012
15,Men's 200 metres,Gold,Athletics,Usain Bolt,2012
16,Men's 200 metres,Silver,Athletics,Yohan Blake,2012
17,Men's 200 metres,Bronze,Athletics,Warren Weir,2012
18,Men's 400 metres,Gold,Athletics,Kirani James,2012
19,Men's 400 metres,Silver,Athletics,Luguelín Santos,2012
20,Men's 400 metres,Bronze,Athletics,Lalonde Gordon,2012
21,Men's 800 metres,Gold,Athletics,David Rudisha,2012
22,Men's 800 metres,Silver,Athletics,Nijel Amos,2012
23,Men's 800 metres,Bronze,Athletics,Timothy Kitum,2012
24,"Men's 1,500 metres",Gold,Athletics,Taoufik Makhloufi,2012
25,"Men's 1,500 metres",Silver,Athletics,Leo Manzano,2012
26,"Men's 1,500 metres",Bronze,Athletics,Abdalaati Iguider,2012
27,"Men's 5,000 metres",Gold,Athletics,Mo Farah,2012
28,"Men's 5,000 metres",Silver,Athletics,Dejen Gebremeskel,2012
29,"Men's 5,000 metres",Bronze,Athletics,Thomas Longosiwa,2012
30,"Men's 10,000 metres",Gold,Athletics,Mo Farah,2012
31,"Men's 10,000 metres",Silver,Athletics,Galen Rupp,2012
32,"Men's 10,000 metres",Bronze,Athletics,Tariku Bekele,2012
33,Men's Marathon,Gold,Athletics,Stephen Kiprotich,2012
34,Men's Marathon,Silver,Athletics,Abel Kirui,2012
35,Men's Marathon,Bronze,Athletics,Wilson Kipsang Kiprotich,2012
36,Men's 110 metres Hurdles,Gold,Athletics,Aries Merritt,2012
37,Men's 110 metres Hurdles,Silver,Athletics,Jason Richardson,2012
38,Men's 110 metres Hurdles,Bronze,Athletics,Hansle Parchment,2012
39,Men's 400 metres Hurdles,Gold,Athletics,Félix Sánchez,2012
40,Men's 400 metres Hurdles,Silver,Athletics,Michael Tinsley,2012
41,Men's 400 metres Hurdles,Bronze,Athletics,Javier Culson,2012
42,"Men's 3,000 metres Steeplechase",Gold,Athletics,Ezekiel Kemboi,2012
43,"Men's 3,000 metres Steeplechase",Silver,Athletics,Mahiedine Mekhissi-Benabbad,2012
44,"Men's 3,000 metres Steeplechase",Bronze,Athletics,Abel Mutai,2012
45,Men's 4 × 100 metres Relay,Gold,Athletics,Jamaica,2012
46,Men's 4 × 100 metres Relay,Silver,Athletics,Trinidad and Tobago,2012
47,Men's 4 × 100 metres Relay,Bronze,Athletics,France,2012
48,Men's 4 × 400 metres Relay,Gold,Athletics,Bahamas,2012
49,Men's 4 × 400 metres Relay,Silver,Athletics,United States,2012
50,Men's 4 × 400 metres Relay,Bronze,Athletics,Trinidad and Tobago,2012
51,Men's 20 kilometres Walk,Gold,Athletics,Chen Ding,2012
52,Men's 20 kilometres Walk,Silver,Athletics,Erick Barrondo,2012
53,Men's 20 kilometres Walk,Bronze,Athletics,Wang Zhen,2012
54,Men's 50 kilometres Walk,Gold,Athletics,Sergey Kirdyapkin,2012
55,Men's 50 kilometres Walk,Silver,Athletics,Jared Tallent,2012
56,Men's 50 kilometres Walk,Bronze,Athletics,Si Tianfeng,2012
57,Men's High Jump,Gold,Athletics,Ivan Ukhov,2012
58,Men's High Jump,Silver,Athletics,Erik Kynard,2012
59,Men's High Jump,Bronze,Athletics,Derek Drouin,2012
60,Men's Pole Vault,Gold,Athletics,Renaud Lavillenie,2012
61,Men's Pole Vault,Silver,Athletics,Björn Otto,2012
62,Men's Pole Vault,Bronze,Athletics,Raphael Holzdeppe,2012
63,Men's Long Jump,Gold,Athletics,Greg Rutherford,2012
64,Men's Long Jump,Silver,Athletics,Mitch Watt,2012
65,Men's Long Jump,Bronze,Athletics,Will Claye,2012
66,Men's Triple Jump,Gold,Athletics,Christian Taylor,2012
67,Men's Triple Jump,Silver,Athletics,Will Claye,2012
68,Men's Triple Jump,Bronze,Athletics,Fabrizio Donato,2012
69,Men's Shot Put,Gold,Athletics,Tomasz Majewski,2012
70,Men's Shot Put,Silver,Athletics,David Storl,2012
71,Men's Shot Put,Bronze,Athletics,Reese Hoffa,2012
72,Men's Discus Throw,Gold,Athletics,Robert Harting,2012
73,Men's Discus Throw,Silver,Athletics,Ehsan Haddadi,2012
74,Men's Discus Throw,Bronze,Athletics,Gerd Kanter,2012
75,Men's Hammer Throw,Gold,Athletics,Krisztián Pars,2012
